أ.	a.
العالي	a'al
أعشى	a'sha
أعثم	a'tham
آا	aa
أدلاند	aadland
عايش	aaish
آلتونن	aaltonen
اعمارة	aamara
آموت	aamot
آرباكه	aarbakke
آرون	aaron
آرونسون	aaronsohn
آرتس	aarts
آس	aas
أوسن	aasen
آسلاند	aasland
أعتابو	aatabou
آفاتسمارك	aavatsmark
أباتشا	abacha
آبادي	abadie
أباغنيل	abagnale
أبلاي	aballay
أبان	aban
أباقا	abaqa
أباردونادو	abardonado
أباشيلي	abasheli
أباتي	abate
أباظة	abaza
أبا	abba
عباد	abbad
أبادو	abbado
أبانياله	abbagnale
القضاعي	abbar
عباس	abbas
عباسي	abbasi
آب	abbe
أبيي	abbey
أبياتي	abbiati
أبيس	abbis
أبوندازيري	abbondanzieri
أبوت	abbott
أبروتشاتو	abbruscato
العبداللات	abdallat
عبدلكي	abdelke
المالك	abdelmalek
النبي	abdelnaby
أبدرهالين	abderhalden
عبدي	abdi
عبداللاييه	abdoulaye
عبدول	abdul
الدايم	abduldaim
الجادر	abduljader
الله	abdullah
المجيد‎	abdulmajid
العاني	abdulsalam
آبي	abe
أبيكاسيس	abecassis
أبيغا	abega
أبيغلين	abegglen
أبيخون	abeijon
أبيل	abel
آبيلارد	abelard
أبيلار	abelard
أبيلز	abels
أبيلسون	abelson
أبن	abene
أبركرومبي	abercrombie
أبركرمبي	abercromby
أبرهون	aberhoun
أبيرت	abert
أبيتي	abetti
أبجر	abgar
ابهيجات	abhijat
أبي	abi
العابد	abid
أبيدال	abidal
عابدين	abidin
أبيجيل	abigail
أبيمال	abimael
أبييف	abiyev
عبلة	abla
أبلان	ablan
أبليازوف	ablyazov
عبودي	aboodi
أبوبكر	aboubakar
سبعان	abousaban
تريكة	aboutrika
أبراهام	abraham
أبراهامز	abrahams
أبراموف	abramov
ابراموفيتش	abramovic
أبراموفيتش	abramovich
أبرامز	abrams
الأبرش	abrash
أبراشكين	abrashkin
أبرازفسكي	abraszewski
أبريو	abreu
أبرييل	abriel
عبريكا	abrika
أبو	abu
الهوى	abulhawa
أبوالخير	abulkhair
سهمين	abusahmain
شقير	abushgeer
شويشة	abushwesha
أكاسيتي	acasiete
اكاسوسو	acasuso
أكام	accam
أكاردي	accardi
أتشولا	accola
أكوير	accoyer
أكدا	acda
أتشيربي	acerbi
أتشيرا	acerra
أخارد	achard
أتشيمبونغ	acheampong
آتشيسون	acheson
أخيم	achim
أشترنبوش	achternbusch
أتشوكارو	achucarro
أكر	acker
أكرمان	ackermann
آكلز	ackles
أكوستا	acosta
أكوافريسكا	acquafresca
أكروبولس	acropolis
أكتريان	acterian
أكتون	acton
أداتشي	adachi
العضايلة	adaileh
دعيس	adais
أدالبيرت	adalbert
آدم	adam
أداما	adama
أداماري	adamari
أداميتش	adamich
أداموف	adamov
أدامز	adams
آدمسون	adamson
آدان	adan
عدن	adan
أدانسون	adanson
عدوية	adaweyah
عداي	aday
أدينسيل	addinsell
أديسون	addison
ادي	ade
أديبايور	adebayor
الأديب	adeeb
عادل	adel
إديلا	adela
أديلايد	adelaide
إديلاردو	adelardo
أدلكيس	adelchis
أديل	adele
أديلين	adelin
أديلسون	adelson
أدلستين	adelstein
اديلونغ	adelung
أدملو	ademollo
أديناور	adenauer
أدينون	adenon
آدر	ader
أدير	ader
أديركا	aderca
أديس	ades
أدهم	adham
الحديابية	adiabene
أدیب	adibzadeh
العاضد	adid
أديكو	adiko
العادل	adil
العديم	adim
أدينا	adina
أديياه	adiyiah
أديوار	adıvar
أدجاني	adjani
أدجي	adjei
أجستوس	adjutus
آدكنز	adkins
أدليمان	adleman
أدلر	adler
ادلون	adlon
عدلي	adly
أدموني	admoni
عدنان	adnan
أدولف	adolf
أدولفو	adolfo
أدونياس	adonias
أدورني	adorni
عدوس	adous
أدري	adri
أدريان	adrian
أدريانا	adriana
أدريانو	adriano
ادريان	adrien
أدرينه	adrienne
أدسيت	adsit
أدفوكات	advocaat
أريل	aerle
أيروبوس	aeropus
إيشباخر	aeschbacher
أفاناسيف	afanasyev
عفارة	afarah
أفيلاي	afellay
عفان	affan
أفليك	affleck
أفول	afful
عفيف	afif
عفيفي	afifi
عفلق	aflaq
أفونين	afonin
أفونسو	afonso
عفروتو	afroto
أفشار	afshar
الأفطس	aftas
أفزيليوس	afzelius
أغ	ag
العجب	agab
